*Pick And Place List
*ArtikelNo=
*Revision=
*Company=
*Author=
*Tel=
*Fax=
*eMail=
*
*Project=Powermeter_V4.3
*ArticleNo=
*RevisionNo=
*Variant=<alle Bauteile>
*PCB=<alle Bauteile>
*Date=28. April 2015 18:49h
*CreatedBy=TARGET 3001! V16 professional 16.8.0.6
*Comment1=
*Comment2=
*Comment3=
*Comment4=
*Comment5=
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*PckOrigin=
*Rotation in degree (0-360, math. pos.)
*Selection=All components
*
*No,"Value/Spec/Package","X","Y","Rotation",Side,"Name"
80,"4.7nH//0603-D","31.08","14.05","90.0",Top,"L3"
81,"10nH//0402","32.37","13.11","0.0",Top,"L4"
82,"3.3nH//0402","34.81","14.97","0.0",Top,"L5"
83,"32KHz//Low Profile Crystal","24.06","19.32","0.0",Top,"Q1"
84,"2k//0402","29.65","10.18","0.0",Bot,"R1"
85,"0//0402","29.37","12.29","180.0",Bot,"R2"
86,"200K//0603_klein","1.01","17.07","270.0",Top,"R3"
87,"10K//0603_klein","1.66","18.99","0.0",Top,"R4"
88,"10K//0603_klein","6.86","18.97","180.0",Top,"R5"
89,"200K//0603_klein","6.24","16.61","90.0",Top,"R6"
90,"560K//0603_klein","2.69","7.41","0.0",Top,"R7"
91,"0//0603_klein","5.60","6.09","0.0",Top,"R8"
92,"0//0603_klein","4.90","8.10","270.0",Top,"R9"
93,"0//0603_klein","6.16","8.10","90.0",Top,"R10"
94,"0//0603_klein","8.18","2.23","0.0",Top,"R11"
95,"0//0805_0-OHM","3.59","13.91","0.0",Top,"R12"
96,"10K//0603_klein","1.96","3.56","0.0",Bot,"R13"
97,"10K//0603_klein","7.13","3.58","180.0",Bot,"R14"
98,"200K//0603_klein","1.23","5.40","90.0",Bot,"R15"
99,"200K//0603_klein","6.64","5.84","270.0",Bot,"R16"
100,"560K//0603_klein","3.15","15.23","0.0",Bot,"R17"
101,"0//0603_klein","5.85","16.58","0.0",Bot,"R18"
102,"0//0603_klein","5.20","14.61","90.0",Bot,"R19"
103,"0//0603_klein","6.54","14.66","270.0",Bot,"R20"
104,"0//0603_klein","8.71","20.39","0.0",Bot,"R21"
105,"0//0805_0-OHM","3.92","8.77","0.0",Bot,"R22"
106,"0//0402","34.84","16.79","180.0",Top,"R23"
107,"0//0402","34.84","18.50","180.0",Top,"R24"
108,"2k//0402","31.50","8.90","90.0",Bot,"R25"
109,"0//0402","27.82","13.68","270.0",Bot,"R26"
110,"2k//0402","31.51","10.70","270.0",Bot,"R27"
111,"0//0402","23.05","11.26","0.0",Bot,"R28"
112,"0//0402","27.83","15.25","90.0",Bot,"R29"
113,"2k//0402","20.29","13.04","180.0",Top,"R30"
114,"0//0402","27.78","11.50","0.0",Bot,"R31"
115,"0//0402","33.22","4.26","180.0",Bot,"R32"
116,"0//0402","20.11","18.34","0.0",Bot,"R33"
117,"0//0603_klein","28.94","7.31","180.0",Bot,"R34"
118,"0//0603_klein","32.26","5.37","90.0",Top,"R35"
119,"0//0402","32.19","14.60","270.0",Bot,"R36"
120,"BSS138//SOT23/3","25.54","14.41","0.0",Bot,"T1"
121,"TPS73230DBV//SOT23/5","20.84","13.16","270.0",Bot,"U1"
122,"LP2985//SOT-23 (5Pin)","17.78","16.31","270.0",Bot,"U3"
123,"MPU-9250//MPU-9250","14.76","12.26","270.0",Top,"U4"
124,"16MHz//HCX-2SB Quarz 26MHz","28.92","19.68","90.0",Top,"U5"
